image,DNL,D00,D10,D20,D40,strat,subset
2526,0,1,2,0,0,S1100,train
10185,1,0,0,0,0,S0000,train
7292,1,0,0,0,0,S0000,train
8289,1,0,0,0,0,S0000,train
813,0,1,1,0,0,S1100,train
10678,1,0,0,0,0,S0000,train
15104,0,1,0,0,0,S1000,train
8632,0,0,1,0,0,S0100,train
1340,1,0,0,0,0,S0000,train
1664,0,1,1,0,0,S1100,train
13555,1,0,0,0,0,S0000,train
3810,0,1,0,0,0,S1000,train
1989,1,0,0,0,0,S0000,train
8217,1,0,0,0,0,S0000,train
1274,0,0,0,1,0,S0010,train
1863,1,0,0,0,0,S0000,train
8497,1,0,0,0,0,S0000,train
12871,1,0,0,0,0,S0000,train
6478,1,0,0,0,0,S0000,train
4107,1,0,0,0,0,S0000,train
3591,1,0,0,0,0,S0000,train
15105,0,1,0,0,0,S1000,train
14824,1,0,0,0,0,S0000,train
4963,1,0,0,0,0,S0000,train
1291,1,0,0,0,0,S0000,train
3022,1,0,0,0,0,S0000,train
15145,0,1,0,0,0,S1000,train
13261,0,4,0,0,0,S1000,train
4866,1,0,0,0,0,S0000,train
10241,1,0,0,0,0,S0000,train
13235,0,3,1,0,0,S1100,train
9964,0,0,0,0,3,S0001,train
12141,1,0,0,0,0,S0000,train
4664,0,1,0,2,0,S1010,train
11393,1,0,0,0,0,S0000,train
11434,0,0,0,1,0,S0010,train
10741,1,0,0,0,0,S0000,train
14584,0,0,1,0,0,S0100,train
25,1,0,0,0,0,S0000,train
12093,1,0,0,0,0,S0000,train
639,0,0,0,0,2,S0001,train
4435,0,0,1,0,0,S0100,train
9343,1,0,0,0,0,S0000,train
8672,0,0,1,0,0,S0100,train
12689,1,0,0,0,0,S0000,train
3431,0,0,1,1,1,S0111,train
5607,0,0,1,0,0,S0100,train
5642,1,0,0,0,0,S0000,train
12870,0,1,1,0,0,S1100,train
7409,1,0,0,0,0,S0000,train
7940,1,0,0,0,0,S0000,train
14833,1,0,0,0,0,S0000,train
2192,0,1,0,0,0,S1000,train
7868,1,0,0,0,0,S0000,train
5901,0,1,0,0,0,S1000,train
5237,0,0,1,0,0,S0100,train
7785,1,0,0,0,0,S0000,train
11021,1,0,0,0,0,S0000,train
10462,1,0,0,0,0,S0000,train
3524,1,0,0,0,0,S0000,train
13553,0,2,1,0,0,S1100,train
8748,0,0,0,1,0,S0010,train
8275,1,0,0,0,0,S0000,train
1559,1,0,0,0,0,S0000,train
12665,1,0,0,0,0,S0000,train
13258,1,0,0,0,0,S0000,train
6744,1,0,0,0,0,S0000,train
3460,0,1,0,0,0,S1000,train
9294,0,1,0,0,0,S1000,train
489,0,0,3,1,3,S0111,train
2723,1,0,0,0,0,S0000,train
11110,1,0,0,0,0,S0000,train
7351,0,1,0,0,0,S1000,train
