                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9657,                 5.1641,                  3.985,                  5e-05,                0.20725,                  9e-05,                  3e-05,                 2.8333,                 11.134,                 2.7213,              0.0033291,              0.0033291,              0.0033291
                      2,                 3.2971,                 4.2388,                 3.2215,                0.00022,                0.36098,                0.00066,                 0.0002,                  2.171,                 15.215,                 2.2352,              0.0066294,              0.0066294,              0.0066294
                      3,                 2.7698,                 3.7011,                 2.6967,                0.36842,                0.01118,                0.00883,                0.00328,                 2.1042,                 42.642,                 2.0215,              0.0098968,              0.0098968,              0.0098968
                      4,                 2.5375,                  3.396,                  2.458,                0.25711,                0.10578,                0.00396,                0.00114,                 2.0044,                 27.185,                 1.9286,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3906,                 3.2243,                 2.3016,                0.27195,                  0.065,                0.00746,                0.00282,                 1.9288,                 17.174,                  1.847,               0.009802,               0.009802,               0.009802
                      6,                 2.3035,                 3.0578,                 2.2044,                0.01774,                0.06045,                0.00992,                0.00399,                 1.7998,                 18.264,                 1.6942,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.2322,                  2.965,                 2.1432,                0.30424,                0.06697,                0.02899,                0.01568,                 1.8209,                 15.751,                  1.721,               0.009703,               0.009703,               0.009703
                      8,                  2.198,                 2.8765,                 2.0869,                0.03464,                0.10984,                0.01532,                 0.0068,                 1.7379,                 15.662,                 1.5876,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.1613,                 2.8248,                 2.0479,                0.04414,                0.09388,                0.02277,                0.01028,                 1.6775,                 15.611,                 1.5588,               0.009604,               0.009604,               0.009604
                     10,                 2.1094,                 2.7429,                 2.0126,                0.04504,                0.11415,                0.02242,                0.01017,                 1.6756,                 14.208,                 1.5844,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.1022,                 2.7079,                  1.992,                0.05367,                0.08969,                0.02403,                 0.0123,                 1.6242,                 19.564,                 1.5074,               0.009505,               0.009505,               0.009505
                     12,                 2.0611,                 2.6658,                 1.9673,                0.03658,                0.14315,                0.02389,                0.01192,                 1.5585,                  17.31,                 1.4854,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.0459,                  2.628,                 1.9532,                0.03196,                 0.1273,                0.02621,                0.01241,                 1.5592,                 18.107,                 1.4853,               0.009406,               0.009406,               0.009406
                     14,                 2.0287,                 2.6194,                 1.9448,                0.04031,                0.14303,                0.02382,                0.01056,                 1.5699,                 17.429,                 1.4916,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.0173,                 2.5624,                 1.9234,                 0.0395,                 0.2106,                0.03772,                0.01978,                 1.5375,                  18.22,                 1.4598,               0.009307,               0.009307,               0.009307
                     16,                 2.0012,                 2.5438,                 1.9029,                0.06623,                0.13418,                0.03311,                0.01762,                 1.5607,                 18.376,                 1.4649,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.9928,                 2.5247,                 1.9034,                0.31262,                0.11217,                0.03608,                 0.0196,                 1.5465,                 20.459,                  1.462,               0.009208,               0.009208,               0.009208
                     18,                  1.964,                 2.4916,                 1.8722,                0.05035,                0.14315,                0.03366,                0.01743,                 1.4705,                  16.56,                  1.409,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.9659,                  2.475,                 1.8672,                0.04952,                0.12754,                0.03098,                0.01458,                 1.5208,                 21.023,                 1.4679,               0.009109,               0.009109,               0.009109
                     20,                 1.9569,                 2.4419,                 1.8573,                 0.0536,                0.18393,                0.03037,                0.01368,                 1.4914,                 17.004,                  1.439,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.9462,                  2.435,                 1.8491,                0.07678,                0.14757,                0.03998,                0.02053,                 1.4464,                  19.26,                 1.3874,                0.00901,                0.00901,                0.00901
                     22,                 1.9446,                 2.4176,                 1.8419,                0.09343,                0.11648,                0.03246,                0.01478,                 1.4805,                 17.706,                 1.4085,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.9419,                 2.4236,                 1.8378,                0.04027,                 0.2036,                0.03244,                0.01631,                 1.4392,                 20.764,                 1.3753,               0.008911,               0.008911,               0.008911
                     24,                 1.9276,                 2.3756,                 1.8247,                0.04881,                0.16672,                0.03124,                0.01611,                 1.4693,                  18.49,                 1.4143,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.9177,                 2.3785,                 1.8293,                0.04906,                0.20593,                 0.0397,                0.01928,                  1.467,                 19.097,                 1.4087,               0.008812,               0.008812,               0.008812
                     26,                 1.9057,                 2.3721,                 1.8213,                 0.0545,                0.11182,                0.03227,                0.01645,                 1.4301,                 20.474,                 1.3872,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.9118,                 2.3559,                 1.8191,                0.05454,                0.15875,                0.03481,                0.01756,                 1.4629,                 19.051,                 1.3922,               0.008713,               0.008713,               0.008713
                     28,                 1.9076,                 2.3268,                 1.8088,                0.05471,                  0.152,                0.04294,                0.01989,                 1.4731,                 19.427,                 1.3967,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.8937,                 2.3178,                  1.801,                0.07118,                0.17006,                0.04251,                0.01987,                 1.4668,                  18.59,                 1.3927,               0.008614,               0.008614,               0.008614
